Algorithm,Dataset,Onsets,Time
CNN,JKU,25827,82.39570593833923
CNN,ENST-1,8813,35.48387002944946
CNN,Modal,501,5.99452805519104
CNN,ENST-3,11019,51.714975118637085
CNN,ENST-2,10319,47.45948815345764
OnsetRate,JKU,25827,20.556828022003174
OnsetRate,ENST-1,8813,11.672429084777832
OnsetRate,Modal,501,1.3582029342651367
OnsetRate,ENST-3,11019,14.117898941040039
OnsetRate,ENST-2,10319,13.924396991729736
SuperFlux,JKU,25827,29.999444007873535
SuperFlux,ENST-1,8813,13.044523000717163
SuperFlux,Modal,501,1.7007598876953125
SuperFlux,ENST-3,11019,15.840779066085815
SuperFlux,ENST-2,10319,16.34496283531189
